dataset,seed,candidate,category,source_work_identity,bootstrap_work_index,bits_per_byte,nll_sum,tokens,source_chars,source_bytes
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:0229116fc57ac9d156b7b050ed0b3d8d32973da148d5caedf78e34865dfcf6bc,32,4.625879388666375,192.38491535186768,20,20,60
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:75b04a7e467914ade7b81a7dbd0567f092dc7b294240cdc0a911449fa2eed8e3,48,5.123171302081906,298.2933864593506,30,28,84
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:1c8795c587d422f9e6badec1be2c0f203662c336e9dc16e7d9da62094f60dd54,61,5.771687560401106,336.0528326034546,33,28,84
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:f1f6ff8fc59c4bdf2a0c7d89a59ce1297591ca2585ddd9a740f565903454591c,33,5.139564278879647,213.74846935272217,20,20,60
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:e4769a914ff8c9e3d6cad934898bf6a90ebb6992033d1756a9abab376ae5d9fd,63,5.491849888323106,319.7594623565674,32,28,84
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:4c02892fa00fda9a82e65f5f9943d005b963874eb0a1bb42580237d0229d800a,8,5.055552006949622,588.712592124939,60,56,168
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:5b6327eb9c50ed53f3079584bad4f486ca82a0efb5c51fd0b607d68fa979d8fd,54,4.580356088741292,266.68831634521484,27,28,84
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:db3fdb4a7c74e76b8850dd288bfabc473e0bbcecc4a5f6ae7a46e3aef4ef15bc,69,4.997990502929295,291.0048141479492,30,28,84
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:0652e84601f21465239e3cdb72e18127be0ad1cae7ca187fe484a43b8404129e,51,4.867655711316327,283.4161539077759,29,28,84
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:d1fcfa5db59009b0b864474ef4c1f16d10583bf1f85e0ba3a65738d29fffb1dd,64,4.5158663291481576,262.9334411621094,28,28,84
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:d9bd1ab196ffa5be4cb918b3dffaae457e91718ad1514009a13c97be076315e9,75,5.039003631542351,293.39277744293213,30,28,84
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:dc38293856bd4b3fbbfb17a2ea3a3ed005b1cc8e602170025665fb5769f1bad3,35,4.312123458702353,179.33617305755615,19,20,60
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:f60ea7caa4cf25c42fa6d8ac30814d7c61d6959f972e21f71f7a4d57c45b2bb4,43,5.445791099940437,317.0777187347412,31,28,84
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:7beffd8ab6e37ff02e514b4f5e7e27b31ab567e82347b63efb2870cfd85d2120,70,5.9756572644978885,347.9288387298584,34,28,84
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:ebfa9bb78878b7b86200084062c20b9a4ece85921e41296ea467c09d9a15c1b1,72,4.443351875445065,258.7113332748413,26,28,84
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:1db2d79ff29ec9c8f61636a1207403fe5c301755545cc3920d27ccf8c94c9442,47,4.537425468226216,264.1887083053589,27,28,84
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:e1462673503c6f46a9b178f0c5bed3bd7182b2b5ed046517d8691e7372bc1ee1,77,4.716409270736849,274.6099262237549,28,28,84
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:f7436097f1cf75a3137b5e899d5dc6e5b933a514de2be41598bc747649b46bd8,1,3.806651059862547,585.7624177932739,63,74,222
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:cc8beb8808cee6f397a4c7e5703b64ad374667e09e452594277ad614a4113104,13,3.9551862196311727,838.9070100784302,93,102,306
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:e66c9c522bbdb987b6e975cb5ac62c23f1a3340f2edb970afc57d26586920b73,57,3.2408943996778845,316.74477100372314,35,47,141
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:ebfa9bb78878b7b86200084062c20b9a4ece85921e41296ea467c09d9a15c1b1,72,4.147783642318073,276.0023555755615,29,32,96
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:d849179ec7b142b2d9eb33ad8eb59461b6c686a0ca5659c9b6ec0c8b0dc73cf1,3,4.127122654488106,746.6435956954956,79,87,261
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:66be6d209047c20bf16ed7e709147176ce8d974b4814dc9bb1808e1b9003a4c3,86,3.9256830483413183,497.9569330215454,51,61,183
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:fa6cc111cd2ef421711faa1460ebc8ce838fdf13293855c223b6e74434edff05,66,3.6446464893685713,3304.369581222534,361,436,1308
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:aacc5122dd14a93c28b61f0916e1aff1d20f56bd5d6a0cd4fd2b767b82852a03,0,4.200149928296506,1537.1780586242676,168,176,528
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:ebaf0a12c2adc7099504c6b86bc708e24aceb7691b4ff10637999dc94e4f54eb,10,4.989416226330101,954.5183420181274,103,92,276
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:c6fedba6d584e75c829082a67d2ee059e215a162bc29488af48dadcb3b48695a,9,4.310821983640066,788.8410034179688,88,88,264
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:37e41b45f0a4183f9f226c73d0b4017a78425c8da65bcfe34480e6f688ded206,7,4.117539097511905,6361.701113700867,682,743,2229
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:c3b29a274f6ee071fbe02e89e38bae7e2a961492db2382eb5f98bacb15565fab,20,4.222511175728737,728.7786073684692,77,83,249
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:91a9fc3f3bf6f759c805d8991ec615e476b531e2d18733983b45d55fa3050bdc,82,3.7286492590925415,457.45698165893555,51,59,177
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:1db2d79ff29ec9c8f61636a1207403fe5c301755545cc3920d27ccf8c94c9442,47,3.2273864401251413,322.1357488632202,38,48,144
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:993cf16ce411260e37f115ed6283350dd03253978bb9dafabd3b6ef85c86612d,6,3.8188619671556543,1421.4569387435913,156,179,537
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:a2d102ad8170a1ea7416667b7226955d7fe7d42a70e2083e50f7fac9a559fd5a,59,3.7385457388690093,1103.9203987121582,117,142,426
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:6de762fbae5cdea909bda4906ad245f5cc75f692374795ca0623fcce53a55e9d,19,3.589514658530901,709.0976600646973,78,95,285
