candidate,seed,domain,requested_budget_fraction,actual_budget_fraction,source_chars,bits_per_byte,nll_sum,source_bytes,tokens,token_nll
j-reversible-sp-unigram-48k,1,old_orthography,0.5,0.5002655666666667,13,2.2031031904404212,59.55591583251953,39,7,8.507987976074219
j-reversible-sp-unigram-48k,1,technical,0.5,0.5002655666666667,34542,5.4860368788976075,208566.70481681824,54848,20968,9.946905037047799
j-reversible-sp-unigram-48k,1,unicode_edge,0.5,0.5002655666666667,70,10.395586280889917,987.1769709587097,137,94,10.501882669773508
j-reversible-sp-unigram-48k,1,web_novel,0.5,0.5002655666666667,148523,2.2363623276268183,612269.6530666351,394980,65296,9.37683247161595
j-reversible-sp-unigram-48k,1,whitespace,0.5,0.5002655666666667,34,5.833796072423272,186.0092477798462,46,19,9.78996040946559
j-reversible-sp-unigram-48k,1,aa,0.75,0.7501628,468245,1.7568467597070285,1587087.0179843903,1303291,175826,9.026463765224655
j-reversible-sp-unigram-48k,1,aozora_kyu_kyu,0.75,0.7501628,98589,2.13593103436829,419761.41417598724,283524,44962,9.335915087762716
j-reversible-sp-unigram-48k,1,aozora_shin_kyu,0.75,0.7501628,363135,2.0668241329658263,1503768.358880043,1049668,162834,9.234977700480508
j-reversible-sp-unigram-48k,1,aozora_shin_shin,0.75,0.7501628,500000,1.9300957808205752,1945760.4999313354,1454404,210650,9.236935674964801
j-reversible-sp-unigram-48k,1,gyaru,0.75,0.7501628,211,5.965589712610668,2261.862334251404,547,223,10.142880422652034
j-reversible-sp-unigram-48k,1,historical_kana,0.75,0.7501628,11,2.4217378631941147,55.39448547363281,33,6,9.232414245605469
j-reversible-sp-unigram-48k,1,kakikudashi,0.75,0.7501628,7344,3.814579708527214,58254.043825149536,22032,6098,9.552975373097661
j-reversible-sp-unigram-48k,1,kanbun,0.75,0.7501628,4292,5.260669038366867,46951.277032375336,12876,4633,10.134098215492195
j-reversible-sp-unigram-48k,1,old_orthography,0.75,0.7501628,13,2.2317159881625823,60.3293981552124,39,7,8.618485450744629
j-reversible-sp-unigram-48k,1,technical,0.75,0.7501628,34542,5.6158550150969315,213502.09651947021,54848,20968,10.182282359761075
j-reversible-sp-unigram-48k,1,unicode_edge,0.75,0.7501628,70,10.790465949229478,1024.6752038002014,137,94,10.900800040427674
j-reversible-sp-unigram-48k,1,web_novel,0.75,0.7501628,148523,2.227718550278983,609903.1659851074,394980,65296,9.34059002060015
j-reversible-sp-unigram-48k,1,whitespace,0.75,0.7501628,34,6.057715629425022,193.14887142181396,46,19,10.165730074832315
j-reversible-sp-unigram-48k,1,aa,1.0,1.0,468245,1.7536702244288587,1584217.4234256744,1303291,175826,9.0101431154987
j-reversible-sp-unigram-48k,1,aozora_kyu_kyu,1.0,1.0,98589,2.110711238529492,414805.1225185394,283524,44962,9.225682187592621
j-reversible-sp-unigram-48k,1,aozora_shin_kyu,1.0,1.0,363135,2.044722066878628,1487687.4610824585,1049668,162834,9.136221311780455
j-reversible-sp-unigram-48k,1,aozora_shin_shin,1.0,1.0,500000,1.9133706865758644,1928899.6642866135,1454404,210650,9.156893730294867
j-reversible-sp-unigram-48k,1,gyaru,1.0,1.0,211,5.945222019181795,2254.139892578125,547,223,10.108250639363789
j-reversible-sp-unigram-48k,1,historical_kana,1.0,1.0,11,2.3504697536160655,53.76430892944336,33,6,8.960718154907227
j-reversible-sp-unigram-48k,1,kakikudashi,1.0,1.0,7344,3.845732512327564,58729.791335105896,22032,6098,9.630992347508347
j-reversible-sp-unigram-48k,1,kanbun,1.0,1.0,4292,5.325430818911056,47529.273533821106,12876,4633,10.258854637129529
j-reversible-sp-unigram-48k,1,old_orthography,1.0,1.0,13,2.2892752123103324,61.8853816986084,39,7,8.840768814086914
j-reversible-sp-unigram-48k,1,technical,1.0,1.0,34542,5.46753669731778,207863.3697872162,54848,20968,9.913361779245335
j-reversible-sp-unigram-48k,1,unicode_edge,1.0,1.0,70,10.661070927849483,1012.3877019882202,137,94,10.770081936044896
j-reversible-sp-unigram-48k,1,web_novel,1.0,1.0,148523,2.2168337144982706,606923.1235542297,394980,65296,9.294951046836402
j-reversible-sp-unigram-48k,1,whitespace,1.0,1.0,34,5.846766136560585,186.42279529571533,46,19,9.811726068195544
j-reversible-sp-unigram-32k,2,aa,0.19,0.19008296666666666,468245,1.8363976372656554,1658951.0916976929,1303291,189974,8.732516511194651
j-reversible-sp-unigram-32k,2,aozora_kyu_kyu,0.19,0.19008296666666666,98589,2.20386146502563,433111.3647031784,283524,48030,9.01751748288941
j-reversible-sp-unigram-32k,2,aozora_shin_kyu,0.19,0.19008296666666666,363135,2.128760658574518,1548831.7902498245,1049668,174239,8.889122356360083
j-reversible-sp-unigram-32k,2,aozora_shin_shin,0.19,0.19008296666666666,500000,1.993824520487535,2010006.46408844,1454404,226058,8.891552009167736
j-reversible-sp-unigram-32k,2,gyaru,0.19,0.19008296666666666,211,6.184113062125969,2344.7157917022705,547,227,10.329144456838197
j-reversible-sp-unigram-32k,2,historical_kana,0.19,0.19008296666666666,11,2.4355510927837773,55.71044731140137,33,7,7.958635330200195
j-reversible-sp-unigram-32k,2,kakikudashi,0.19,0.19008296666666666,7344,3.7365840591791937,57062.93960857391,22032,6309,9.044688478138202
j-reversible-sp-unigram-32k,2,kanbun,0.19,0.19008296666666666,4292,5.159001722016698,46043.89998579025,12876,4675,9.8489625638054
j-reversible-sp-unigram-32k,2,old_orthography,0.19,0.19008296666666666,13,2.236820186290743,60.46737861633301,39,7,8.63819694519043
j-reversible-sp-unigram-32k,2,technical,0.19,0.19008296666666666,34542,6.095449773108676,231735.20368480682,54848,23549,9.840553895486298
j-reversible-sp-unigram-32k,2,unicode_edge,0.19,0.19008296666666666,70,11.126615902353285,1056.5963945388794,137,97,10.892746335452365
j-reversible-sp-unigram-32k,2,web_novel,0.19,0.19008296666666666,148523,2.319724882475797,635092.5927600861,394980,70196,9.04741855319514
j-reversible-sp-unigram-32k,2,whitespace,0.19,0.19008296666666666,34,6.652092127400798,212.1004295349121,46,21,10.100020454043435
j-reversible-sp-unigram-32k,2,aa,0.2,0.20018903333333332,468245,1.8356143039963337,1658243.4499778748,1303291,189974,8.728791571361738
j-reversible-sp-unigram-32k,2,aozora_kyu_kyu,0.2,0.20018903333333332,98589,2.2138644480573815,435077.1895523071,283524,48030,9.058446586556467
j-reversible-sp-unigram-32k,2,aozora_shin_kyu,0.2,0.20018903333333332,363135,2.1377651189302935,1555383.2052230835,1049668,174239,8.926722520348966
j-reversible-sp-unigram-32k,2,aozora_shin_shin,0.2,0.20018903333333332,500000,1.9908882635410607,2007046.3763866425,1454404,226058,8.878457636476668
j-reversible-sp-unigram-32k,2,gyaru,0.2,0.20018903333333332,211,6.099617061389624,2312.6790056228638,547,227,10.188013240629356
j-reversible-sp-unigram-32k,2,historical_kana,0.2,0.20018903333333332,11,2.5157833967451984,57.54566955566406,33,7,8.220809936523438
j-reversible-sp-unigram-32k,2,kakikudashi,0.2,0.20018903333333332,7344,3.7341672478112744,57026.03147029877,22032,6309,9.038838400744773
j-reversible-sp-unigram-32k,2,kanbun,0.2,0.20018903333333332,4292,5.124441384486621,45735.45024871826,12876,4675,9.782984010421018
j-reversible-sp-unigram-32k,2,old_orthography,0.2,0.20018903333333332,13,2.2655979462437625,61.245320320129395,39,7,8.7493314743042
j-reversible-sp-unigram-32k,2,technical,0.2,0.20018903333333332,34542,6.0886484369742355,231476.63227939606,54848,23549,9.82957375172602
j-reversible-sp-unigram-32k,2,unicode_edge,0.2,0.20018903333333332,70,10.995912472115263,1044.1846446990967,137,97,10.76479015153708
j-reversible-sp-unigram-32k,2,web_novel,0.2,0.20018903333333332,148523,2.318553551373003,634771.9065818787,394980,70196,9.042850113708454
j-reversible-sp-unigram-32k,2,whitespace,0.2,0.20018903333333332,34,6.599787148478984,210.43269729614258,46,21,10.020604633149647
j-reversible-sp-unigram-32k,2,aa,0.5,0.5002318333333333,468245,1.838748463951542,1661074.763835907,1303291,189974,8.743695262698617
j-reversible-sp-unigram-32k,2,aozora_kyu_kyu,0.5,0.5002318333333333,98589,2.16381985301831,425242.23250198364,283524,48030,8.853679627357561
j-reversible-sp-unigram-32k,2,aozora_shin_kyu,0.5,0.5002318333333333,363135,2.0910199957969624,1521372.6496181488,1049668,174239,8.731527669569665
j-reversible-sp-unigram-32k,2,aozora_shin_shin,0.5,0.5002318333333333,500000,1.9895547816678054,2005702.071931839,1454404,226058,8.87251091282697
j-reversible-sp-unigram-32k,2,gyaru,0.5,0.5002318333333333,211,5.928577154650243,2247.8289670944214,547,227,9.902330251517276
j-reversible-sp-unigram-32k,2,historical_kana,0.5,0.5002318333333333,11,2.3832388484446807,54.513864517211914,33,7,7.787694931030273
j-reversible-sp-unigram-32k,2,kakikudashi,0.5,0.5002318333333333,7344,3.7142303347083283,56721.566523075104,22032,6309,8.99057957252736
j-reversible-sp-unigram-32k,2,kanbun,0.5,0.5002318333333333,4292,5.0874998350647616,45405.74828338623,12876,4675,9.712459525858018
j-reversible-sp-unigram-32k,2,old_orthography,0.5,0.5002318333333333,13,2.177780500205874,58.87137413024902,39,7,8.410196304321289
j-reversible-sp-unigram-32k,2,technical,0.5,0.5002318333333333,34542,5.731662584468123,217904.83818340302,54848,23549,9.253252290262985
j-reversible-sp-unigram-32k,2,unicode_edge,0.5,0.5002318333333333,70,10.635567864090513,1009.9659013748169,137,97,10.412019601802236
j-reversible-sp-unigram-32k,2,web_novel,0.5,0.5002318333333333,148523,2.3044337640051786,630906.20145607,394980,70196,8.987779951223288
j-reversible-sp-unigram-32k,2,whitespace,0.5,0.5002318333333333,34,6.071921037465976,193.60180759429932,46,21,9.219133694966635
j-reversible-sp-unigram-32k,2,aa,0.75,0.7500226666666666,468245,1.8238873119765955,1647649.608089447,1303291,189974,8.673026877833003
